City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Keningau,MY,5.3378,116.1602,77.45,99,90,1.3,overcast clouds
323,Mtwara,TZ,-10.2667,40.1833,77.97,83,14,8.77,few clouds
324,Takoradi,GH,4.8845,-1.7554,80.44,88,13,6.06,few clouds
325,Dingle,PH,10.9995,122.6711,76.19,91,50,3.71,scattered clouds
326,Sakakah,SA,29.9697,40.2064,60.37,36,87,7.81,overcast clouds
327,Toora-Khem,RU,52.4675,96.11,-6.77,92,100,2.06,overcast clouds
328,Kulhudhuffushi,MV,6.6221,73.07,81.05,69,30,15.41,scattered clouds
329,Miguel Alves,BR,-4.1656,-42.8953,85.35,58,47,6.64,scattered clouds
330,Ponta Do Sol,PT,32.6667,-17.1,65.71,72,100,4.61,overcast clouds
331,Warrington,GB,53.3925,-2.5802,49.98,84,94,1.99,overcast clouds
332,Port Lincoln,AU,-34.7333,135.8667,57.38,65,11,13.69,few clouds
333,Fengxian,CN,34.7039,116.5872,49.66,87,93,10.09,overcast clouds
334,Tura,IN,25.5198,90.2201,61.83,75,14,2.64,few clouds
335,Borogontsy,RU,62.6683,131.1683,-29.52,100,35,1.1,scattered clouds
336,Mabaruma,GY,8.2,-59.7833,75.94,91,56,3.94,broken clouds
337,Semnan,IR,35.5729,53.3971,43.12,57,90,2.55,overcast clouds
338,Narsaq,GL,60.9167,-46.05,34.02,100,100,1.88,moderate rain
339,Poso,ID,-1.3959,120.7524,77.32,86,97,4.54,overcast clouds
340,Marsh Harbour,BS,26.5412,-77.0636,75.51,82,100,24.87,overcast clouds
341,Saint Simons,US,31.1352,-81.3901,66.47,85,90,13.8,overcast clouds
